"perf_muscle-rfile"
"Iteration" "perf_muscle"
("Iteration" "perf_muscle")
1 0.0003999999999999987
2 0.0003999999999999987
3 0.0003999999999999987
4 0.0003999999999999987
5 0.0003999999999999987
6 0.0003999999999999987
7 0.0003999999999999987
8 0.0003999999999999987
9 0.0003999999999999987
10 0.0003999999999999987
11 0.0003999999999999987
12 0.0003999999999999987
13 0.0003999999999999987
14 0.0003999999999999987
15 0.0003999999999999987
16 0.0003999999999999987
17 0.0003999999999999987
18 0.0003999999999999987
19 0.0003999999999999987
20 0.0003999999999999987
21 0.0003999999999999987
22 0.0003999999999999987
23 0.0003999999999999987
24 0.0003999999999999987
25 0.0003999999999999987
26 0.0003999999999999987
27 0.0003999999999999987
28 0.0003999999999999987
29 0.0003999999999999987
30 0.0003999999999999987
31 0.0003999999999999987
32 0.0003999999999999987
33 0.0003999999999999987
34 0.0003999999999999987
35 0.0003999999999999987
36 0.0003999999999999987
37 0.0003999999999999987
38 0.0003999999999999987
39 0.0003999999999999987
40 0.0003999999999999987
41 0.0003999999999999987
42 0.0003999999999999987
43 0.0003999999999999987
44 0.0003999999999999987
45 0.0003999999999999987
46 0.0003999999999999987
47 0.0003999999999999987
48 0.0003999999999999987
49 0.0003999999999999987
50 0.0003999999999999987
51 0.0003999999999999987
52 0.0003999999999999987
53 0.0003999999999999987
54 0.0003999999999999987
55 0.0003999999999999987
56 0.0003999999999999987
57 0.0003999999999999987
58 0.0003999999999999987
59 0.0003999999999999987
60 0.0003999999999999987
