"skin_temperature-rfile"
"Iteration" "skin_temperature"
("Iteration" "skin_temperature")
1 33.50000000000004
2 33.50000000000004
3 33.50000000000004
4 33.50000000000004
5 33.50000000000004
6 33.50000000000004
7 33.50000000000004
8 33.50000000000004
9 33.50000000000004
10 33.50000000000004
11 33.50000000000004
12 33.50000000000004
13 33.50000000000004
14 33.50000000000004
15 33.50000000000004
16 33.50000000000004
17 33.50000000000004
18 33.50000000000004
19 33.50000000000004
20 33.50000000000004
21 33.50000000000004
22 33.50000000000004
23 33.50000000000004
24 33.50000000000004
25 33.50000000000004
26 33.50000000000004
27 33.50000000000004
28 33.50000000000004
29 33.50000000000004
30 33.50000000000004
31 33.50000000000004
32 33.50000000000004
33 33.50000000000004
34 33.50000000000004
35 33.50000000000004
36 33.50000000000004
37 33.50000000000004
38 33.50000000000004
39 33.50000000000004
40 33.50000000000004
41 33.50000000000004
42 33.50000000000004
43 33.50000000000004
44 33.50000000000004
45 33.50000000000004
46 33.50000000000004
47 33.50000000000004
48 33.50000000000004
49 33.50000000000004
50 33.50000000000004
51 33.50000000000004
52 33.50000000000004
53 33.50000000000004
54 33.50000000000004
55 33.50000000000004
56 33.50000000000004
57 33.50000000000004
58 33.50000000000004
59 33.50000000000004
60 33.50000000000004
