"perf_organ-rfile"
"Iteration" "perf_organ"
("Iteration" "perf_organ")
1 0.001973628102457417
2 0.001973628102457417
3 0.001973628102457417
4 0.001973628102457417
5 0.001973628102457417
6 0.001973628102457417
7 0.001973628102457417
8 0.001973628102457417
9 0.001973628102457417
10 0.001973628102457417
11 0.001973628102457417
12 0.001973628102457417
13 0.001973628102457417
14 0.001973628102457417
15 0.001973628102457417
16 0.001973628102457417
17 0.001973628102457417
18 0.001973628102457417
19 0.001973628102457417
20 0.001973628102457417
21 0.001973628102457417
22 0.001973628102457417
23 0.001973628102457417
24 0.001973628102457417
25 0.001973628102457417
26 0.001973628102457417
27 0.001973628102457417
28 0.001973628102457417
29 0.001973628102457417
30 0.001973628102457417
31 0.001973628102457417
32 0.001973628102457417
33 0.001973628102457417
34 0.001973628102457417
35 0.001973628102457417
36 0.001973628102457417
37 0.001973628102457417
38 0.001973628102457417
39 0.001973628102457417
40 0.001973628102457417
41 0.001973628102457417
42 0.001973628102457417
43 0.001973628102457417
44 0.001973628102457417
45 0.001973628102457417
46 0.001973628102457417
47 0.001973628102457417
48 0.001973628102457417
49 0.001973628102457417
50 0.001973628102457417
51 0.001973628102457417
52 0.001973628102457417
53 0.001973628102457417
54 0.001973628102457417
55 0.001973628102457417
56 0.001973628102457417
57 0.001973628102457417
58 0.001973628102457417
59 0.001973628102457417
60 0.001973628102457417
