"metab_muscle-rfile"
"Iteration" "metab_muscle"
("Iteration" "metab_muscle")
1 375.0000000000001
2 375.0000000000001
3 375.0000000000001
4 375.0000000000001
5 375.0000000000001
6 375.0000000000001
7 375.0000000000001
8 375.0000000000001
9 375.0000000000001
10 375.0000000000001
11 375.0000000000001
12 375.0000000000001
13 375.0000000000001
14 375.0000000000001
15 375.0000000000001
16 375.0000000000001
17 375.0000000000001
18 375.0000000000001
19 375.0000000000001
20 375.0000000000001
21 375.0000000000001
22 375.0000000000001
23 375.0000000000001
24 375.0000000000001
25 375.0000000000001
26 375.0000000000001
27 375.0000000000001
28 375.0000000000001
29 375.0000000000001
30 375.0000000000001
31 375.0000000000001
32 375.0000000000001
33 375.0000000000001
34 375.0000000000001
35 375.0000000000001
36 375.0000000000001
37 375.0000000000001
38 375.0000000000001
39 375.0000000000001
40 375.0000000000001
41 375.0000000000001
42 375.0000000000001
43 375.0000000000001
44 375.0000000000001
45 375.0000000000001
46 375.0000000000001
47 375.0000000000001
48 375.0000000000001
49 375.0000000000001
50 375.0000000000001
51 375.0000000000001
52 375.0000000000001
53 375.0000000000001
54 375.0000000000001
55 375.0000000000001
56 375.0000000000001
57 375.0000000000001
58 375.0000000000001
59 375.0000000000001
60 375.0000000000001
